text,true_label,predicted_label
"
adobe creative suite 3 master collection for win

http://oemmerchant.com

features:
professional page layout, image editing, vector illustration, and print production
website design, development, prototyping, and blogging
creation of rich interactive content
industry-standard visual effects and motion graphics
video capture, editing, and production; dvd titling; and digital audio


",1,0
"







get
$500 free!


casino gaming with $500


$500
free at jackpotcity.com
online casino means you have access to 30
minutes of premier gaming content absolutely free of charge! 

it’ll also give you access to:
      
over 300 top rated online casino games 
fast efficient payouts 
a safe & secure online environment 
ecogra certified, with a licence issued by the
government of gib 

get to jackpotcity.com right now, a world
of winning awaits you!


























































jackpotcitycom online casino was established in
september 1998 and fast 
became the driving force in the online casino industry. 
our range of online casino games has not only helped us 
to maintain our position as an online casino leader, but 
has in fact strengthened it. we offer both a download 
casino option and an instant play no-download option to 
all our players. the benefit of download play is that casino 
players will have access to a much larger selection of online 
casino games, including our top online slots, video slots, 
table games, video poker and all our monthly new casino games. 
jackpotcity.com online casino is fully licensed by the government 
of gibraltar and is regulated to both uk and eu standards. 
to further ensure player safety jackpotcity.com online casino 
has been awarded the prestigious ecogra seal of approval and 
abides by the standards set down in the ecogra code of conduct. 
rest assured, your online casino safety and security is paramount 
at jackpotcity.com online casino. fancy a different sign-up offer? 
don’t want €500 free? then try our 100% match offer!










  to unsubscribe from this mailing list:
  click here




offersgalore-advertisement
1490 w 120th ave. suite 121 st
westminster, colorado 80234







",1,0
"order today for a free express upgrade ... view this email online:
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/hosted?circ_hd=55i1b3a&i_storename=

====================================
express your love!
get a free express upgrade* 
on select gifts for valentine's day. 
====================================

hurry - order today and enter code val at checkout.
valentine's day arrival is guaranteed, you pay only
our standard delivery and processing charge - and save $9.99!
shop the selection:
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/shop?circ_hd=55i1b3a

deluxe sweetheart tower $49.95
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/sweetwr?circ_hd=55i1b3a

new! harry & david chocolate charm confections $34.95
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/chocchrm?circ_hd=55i1b3a

tower of hearts $39.95
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/towerhrt?circ_hd=55i1b3a

cupid's cookies $39.95
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/cookies?circ_hd=55i1b3a

2 hearts of chocolate $19.95
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/twohrts?circ_hd=55i1b3a

save on 6 hearts $49.95
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/sixhrts?circ_hd=55i1b3a

special valentine's fruit-of-the-month club gift says
""i love you"" ... month after month!
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/fomcbnr?circ_hd=55i1b3a

exclusively in stores:
chocolate dip and sip 
saturday, february 9 - 1 pm to 5 pm
enjoy free samples and save $10 on gifts for valentine's day - click for coupon:
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/storebnr?circ_hd=55i1b3a

affectionately yours,
harry and david
2500 s. pacific hwy. 
medford, or 97501
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/home?circ_hd=55i1b3a

find the most delicious ways to celebrate at your local 
harry & david store: in a city near you.
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/storeloc?circ_hd=55i1b3a

express delivery services available through 10am pst on february 13, 2008.

* free express delivery upgrade ($9.99 value) applies only to our
3-day express service on select products while supplies last. offer
valid only on phone or internet orders; not available in stores.
does not apply to previous purchases and cannot be combined with any
other offer or discount. standard delivery and processing charges
and all applicable taxes apply. delivery and processing is based on
regular price of merchandise. void where prohibited by law. offer
valid february 6-10, 2008. during checkout, select ""valentine's day"" 
as your delivery option, and enter coupon code: val.

harry and david has sent you this email advertisement because you
have purchased from us or registered to receive our email updates.

====================================================================
to be sure our mail reaches your inbox (not bulk or junk folders), 
add hbusdgzwatadv@e.harryanddavid.com to your address book. 
====================================================================

if you would like to change your email address, or no longer wish to
receive email from us, let us know by using this link: 
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/updates?ljqoa=jne@gvc.ceas-challenge.cc&circ_hd=55i1b3a 

use this link to contact customer service:
http://e.harryanddavid.com/a/tbhrereap5vavbwihiyafqbnp.ap5vavel/feedback?circ_hd=55i1b3a 
you may also call us toll-free at 1-877-322-1200, or write to us at
the address shown.

copyright 2008, harry and david. all rights reserved. harry and
david is a registered trademark and service mark. harry & david 
is a registered trademark, service mark and dba of harry and david. 
website material may not be copied, reproduced, published,
broadcast, rewritten or distributed in any way.
",0,1
"j&r weekend sale
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/weeksale-3
========================================================================

dane-elec 1 gb micro sd card
orig. $29.99
includes sd adapter
this weekend only $5.99
save 80%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr4-3

pny p-sdhc4g4-rf3 4gb sd high capacity memory card
orig. $69.99
this weekend only $19.99
after mail-in rebate
save 71%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr6-3

casio ex-z1200sr exilim hi-zoom 12 megapixel digital camera - silver
orig. $399.99
this weekend only $224.99
save 43%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr8-3

sony kdl-40v2500 bravia 40"" 1080p hdtv lcd television 
orig. $1699.99
this weekend only $999.99
save 43%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr16-3

classical cd sale
deutsche grammophon and other select labels on sale
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr18-3

reggae cd sale
all vp records cd's are on sale
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr19-3

rca rs2620 80-watt stereo shelf music audio system
orig. $59.99
this weekend only $39.99
save 33%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr13-3

blueant supertooth light bluetooth speaker
orig. $99.99
this weekend only $64.99
save 35%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr7-3

griffin technology ifm for psp
orig. $49.99
this weekend only $14.99
save 70%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr2-3

motorola v3 razr gsm cellular phone ( unlocked )
orig. $499.99
this weekend only $129.99
save 74%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr1-3

sling media sb200-100 slingbox pro
orig. $198.00
this weekend only $179.99
free shipping
save $18
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr15-3

iogear gmp1001w6 gearjuice mobile pocket power for cellular phones
orig. $49.99
this weekend only $24.99
after mail-in rebate
save 50%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr10-3

tivoli audio platinum series music system - high-gloss dark walnut and beige
orig. $1499.99
this weekend only $799.99
save 46%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr3-3

linksys pc2224 proconnect ii 2224 24-ports 10/100 ethernet switch
orig. $599.99
this weekend only $239.99
save 60%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr12-3

panasonic es7058 men's vortex triple blade hydraclean system shaver
orig. $89.99
this weekend only $54.99
save 38%
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/jr5-3


---------------------------------------------------------------------
see all the savings at the j&r weekend sale    
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/weeksale-3
---------------------------------------------------------------------

real new yorkers know - www.rnyk.com
j&r blogs on gadgets, games, gotham, music & more!
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/blog-3

prices, availability & terms of offers may change without notice. unless
specifically stated, prices do not include shipping or applicable taxes.
========================================================================
need help? 
our professional staff is available seven days a week to answer your
questions. call toll free 1-800-806-1115 or contact us online at
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/contact-3
 
update your name, email address or subscription options:
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/change-3
unsubscribe from our newsletter.  
http://jr.chtah.com/a/tbhrfg$ajmkgtbwruzmafqbnpxl/unsub-3

j&r music and computer world
23 park row | new york, ny 10038 | usa 
tel: 1-800-426-6027 | fax: 1-212-238-6396 
always online at www.jr.com
",0,1
"












security note: trade me will never ask you for your password via email

hi tony,
you have not yet placed feedback on the auction for '4 fashion bands *pick colour/size *$49.90 free pst'.
the seller was misterwhiskas (2157 )
place feedback now
your feedback is important because it lets other traders assess the trustworthiness of the people you have traded with.
happy trading!the trade me team
www.trademe.co.nz


to unsubscribe from feedback reminder emails, click hereadvertisement
",0,1
"

no time for classes? earn your online degree fast

what would a ""phd"" title do for your resume?

call 24/7 on....

for us: 1-831-850-5887
outside us: +1-831-850-5887


",1,0
"





der sehr geehrte 
käufer.
wir haben mehr verschiedene 300 pc and 
macintosch computerprogramme deutsch. alle programme sind die 
spezielle anpassung und die professionelle übersetzung gegangen. nur die vollen 
versionen, ohne beschränkung der rechte des benutzers.  zusammen 
mit uns sparen sie 80 % ein....
newly added software:
quarkxpress 7 passport 
multilanguagedelphi 2007 enterprise editionmac os x 
10.4.3windows vista ultimate 32-bitadobe creative suite 3 master 
collection   maxon cinema 4d r10 studio 
bundle   autocad 2009 32 and 64 
bit   coreldraw graphics suite 
x3   autodesk 3ds max 2009 32 and 64 
bit   office enterprise 
2007   adobe creative suite 3 design 
premium   macromedia dreamweaver 8 for 
mac      adobe creative suite 3 web 
premium   adobe fireworks cs3   corel 
painter ix.5   alias maya 7 unlimited for 
mac   autocad architecture 2009 32 and 64 
bit   adobe creative suite 2 premium for 
mac   macromedia studio 8 special 
edition!   adobe photoshop cs3 
extended   autocad electrical 2009 32 and 64 
bit   adobe flash cs3 
professional   autocad map 3d 2009   adobe 
dreamweaver cs3   adobe fireworks 
cs3   adobe photoshop cs2 with imageready cs2 for 
mac   autocad 
2008   
apple final cut express hd for 
mac   adobe contribute cs3   maxon cinema 
4d r10 studio-bundle for mac   filemaker pro 9 
advanced   3ds max 2008   autocad 
architecture 2008   roxio's toast with jam 6 for 
mac   autocad mechanical 2008   autodesk 
inventor professional 2008   adobe after effects 
cs3      adobe captivate 
cs3   filemaker pro 8.5 advanced for 
mac   autodesk viz 2008   adobe acrobat pro 
8   autodesk maya 2008 
unlimited   propellerhead reason 3 for 
mac   adobe acrobat 3d   3ds max 
9   adobe photoshop elements 
5    adobe after effects 
7     eurosoft software 
(deutsche version): http://koperdinos.com
 
",1,0
"adobe creative suite 3 master collection for win

http://oemmerchant.com

features:
professional page layout, image editing, vector illustration, and print production
website design, development, prototyping, and blogging
creation of rich interactive content
industry-standard visual effects and motion graphics
video capture, editing, and production; dvd titling; and digital audio


",1,0
"









trade me offer requestgenerated 8 december, 6:27 am


security note: trade me will never ask you for your password via email

hi tony,
a trade me member is interested in purchasing your expired auction armchair: old & worn, but very comfy
(#129227503)
offer this item at a fixed priceadvertisement
",0,1
"order today for a free express upgrade ... view this email online:
http://e.harryanddavid.com/a/tbhrtpgap5vavbws3rlafqbnp.ap5vavxv/hosted?circ_hd=55i1bda&i_storename=

==========================================================
offer ends today!
free express upgrade* on select gifts for valentine's day
==========================================================

hurry - order now and enter code val at checkout.
valentine's day arrival is guaranteed, and you pay only
our standard delivery and processing charge - a $9.99 savings!

shop the selection:
http://e.harryanddavid.com/a/tbhrtpgap5vavbws3rlafqbnp.ap5vavxv/shop?circ_hd=55i1bda

special valentine's fruit-of-the-month club gift 
says ""i love you"" ... month after month! delight your
sweetheart - or anyone you're sweet on - with a special
gift for valentine's day to start their monthly parade
of premium quality, luxury fruit.
http://e.harryanddavid.com/a/tbhrtpgap5vavbws3rlafqbnp.ap5vavxv/fomcbnr?circ_hd=55i1bda

affectionately yours,
harry and david
2500 s. pacific hwy. 
medford, or 97501
http://e.harryanddavid.com/a/tbhrtpgap5vavbws3rlafqbnp.ap5vavxv/home?circ_hd=55i1bda

find the most delicious ways to celebrate at your local
harry & david store: in a city near you.
http://e.harryanddavid.com/a/tbhrtpgap5vavbws3rlafqbnp.ap5vavxv/storeloc?circ_hd=55i1bda

express delivery services available through 
10am pst (1pm est) on february 13, 2008.

* free express delivery upgrade ($9.99 value) applies only to 
our 3-day express service on select products while supplies last. 
offer valid only on phone or internet orders; not available in stores.
does not apply to previous purchases and cannot be combined with any
other offer or discount. standard delivery and processing charges
and all applicable taxes apply. delivery and processing is based 
on regular price of merchandise. void where prohibited by law. 
offer valid through february 10, 2008. to redeem, enter coupon 
code val in the shopping cart and  select ""valentine's day"" as 
your delivery option during checkout.  your savings will appear 
on the payment page.

harry and david has sent you this email advertisement because you
have purchased from us or registered to receive our email updates.

====================================================================
to be sure our mail reaches your inbox (not bulk or junk folders), 
add hbusdgzwatadv@e.harryanddavid.com to your address book. 
====================================================================

if you would like to change your email address, or no longer wish to
receive email from us, let us know by using this link: 
http://e.harryanddavid.com/a/tbhrtpgap5vavbws3rlafqbnp.ap5vavxv/updates?ljqoa=jne@gvc.ceas-challenge.cc&circ_hd=55i1bda 

use this link to contact customer service:
http://e.harryanddavid.com/a/tbhrtpgap5vavbws3rlafqbnp.ap5vavxv/feedback?circ_hd=55i1bda 
you may also call us toll-free at 1-877-322-1200, or write to us at
the address shown.

copyright 2008, harry and david. all rights reserved. harry and
david is a registered trademark and service mark. harry & david 
is a registered trademark, service mark and dba of harry and david. 
website material may not be copied, reproduced, published,
broadcast, rewritten or distributed in any way.
",0,1
